image,mean,std,median
218-4_part_16_tile_1.png,72.86167240142822,4.665481223486104,73.0
218-4_part_16_tile_10.png,74.65339183807373,5.474125775480496,74.0
218-4_part_16_tile_11.png,73.14578628540039,6.34683753299771,73.0
218-4_part_16_tile_12.png,73.61894989013672,5.265983557391025,73.0
218-4_part_16_tile_13.png,72.95405578613281,5.1838202780724085,73.0
218-4_part_16_tile_14.png,74.40484809875488,6.024509463321344,74.0
218-4_part_16_tile_15.png,74.10206890106201,7.521620351523084,74.0
218-4_part_16_tile_2.png,73.67552375793457,4.468557377896239,73.0
218-4_part_16_tile_4.png,73.64004611968994,4.3220571535959165,74.0
218-4_part_16_tile_5.png,74.27415180206299,5.329315039727008,74.0
218-4_part_16_tile_7.png,73.65454483032227,5.588253086650579,74.0
218-4_part_16_tile_8.png,74.68106365203857,5.951925276855694,74.0
218-4_part_1_tile_1.png,81.89683628082275,3.0717858837590293,82.0
218-4_part_1_tile_10.png,78.73549842834473,4.676937816391372,79.0
218-4_part_1_tile_11.png,76.50719928741455,4.4012626020450245,76.0
218-4_part_1_tile_12.png,77.79656410217285,3.942049995669893,78.0
218-4_part_1_tile_13.png,77.7496395111084,3.171521827877513,78.0
218-4_part_1_tile_14.png,78.57407093048096,3.8458071511694656,79.0
218-4_part_1_tile_15.png,76.75787162780762,3.1823734162357256,77.0
218-4_part_1_tile_16.png,77.54718685150146,4.165693209751411,78.0
218-4_part_1_tile_2.png,81.94419765472412,4.5833372929450515,82.0
218-4_part_1_tile_4.png,78.59575080871582,4.831196168281653,79.0
218-4_part_1_tile_9.png,77.65977382659912,5.048736351087359,77.0
218-4_part_20_tile_1.png,70.0385103225708,6.100592730965229,70.0
218-4_part_20_tile_10.png,70.8986349105835,6.190086287081251,70.0
218-4_part_20_tile_12.png,70.81857299804688,4.540748199361347,71.0
218-4_part_20_tile_14.png,71.55055809020996,4.7301322345723795,71.0
218-4_part_20_tile_15.png,71.07761001586914,5.721120215751744,71.0
218-4_part_20_tile_16.png,71.2701644897461,3.9029084391600275,71.0
218-4_part_20_tile_2.png,70.3013105392456,6.119279240371944,70.0
218-4_part_20_tile_3.png,72.86476039886475,7.5368416827610885,72.0
218-4_part_20_tile_5.png,68.63206577301025,4.868996802178715,68.0
218-4_part_20_tile_6.png,70.70789909362793,5.066048253538087,71.0
218-4_part_20_tile_7.png,71.95429134368896,4.89633461914992,72.0
218-4_part_20_tile_9.png,69.14441967010498,4.911483675752188,69.0
218-4_part_5_tile_1.png,73.13777351379395,4.025765929182034,73.0
218-4_part_5_tile_10.png,74.30508041381836,3.833373760349881,74.0
218-4_part_5_tile_11.png,71.87554359436035,3.672459357350488,72.0
218-4_part_5_tile_12.png,72.81538772583008,3.9363303195232087,73.0
218-4_part_5_tile_13.png,74.41792106628418,3.430241053161621,74.0
218-4_part_5_tile_14.png,74.71332550048828,4.291138043102612,75.0
218-4_part_5_tile_15.png,72.21967315673828,3.1319770146229695,72.0
218-4_part_5_tile_16.png,73.48810577392578,3.2656518166951205,73.0
218-4_part_5_tile_3.png,71.81721115112305,3.9865155893613857,72.0
218-4_part_5_tile_4.png,72.34226131439209,4.925752001794826,72.0
218-4_part_5_tile_5.png,74.100661277771,3.607563320652376,74.0
218-4_part_5_tile_6.png,73.84697341918945,3.6165158340478682,74.0
218-4_part_5_tile_7.png,72.80788993835449,3.717985823511663,73.0
218-4_part_5_tile_9.png,74.22783184051514,3.4296185672769024,74.0
218-5_part_14_tile_1.png,72.73539161682129,4.718696162318266,73.0
218-5_part_14_tile_10.png,73.83950519561768,2.726798090574889,74.0
218-5_part_14_tile_12.png,73.44811534881592,3.4070827222970417,73.0
218-5_part_14_tile_13.png,74.41653442382812,2.817082904310305,74.0
218-5_part_14_tile_14.png,74.79221153259277,3.7957210131698815,75.0
218-5_part_14_tile_15.png,73.62578868865967,3.8649780864210914,74.0
218-5_part_14_tile_2.png,73.85463047027588,4.987046072169238,74.0
218-5_part_14_tile_3.png,72.35713577270508,2.882493307712047,72.0
218-5_part_14_tile_4.png,73.49809837341309,3.2924034142946246,73.0
218-5_part_14_tile_5.png,73.85247230529785,4.074706808998148,74.0
218-5_part_14_tile_6.png,74.55249977111816,3.2256156345017777,74.0
218-5_part_14_tile_7.png,72.69221210479736,3.0902730253408435,73.0
218-5_part_14_tile_8.png,74.05940341949463,3.487679023714889,74.0
218-5_part_14_tile_9.png,73.42789936065674,2.7237725136171296,73.0
218-5_part_15_tile_1.png,73.59298038482666,3.8450933687931044,73.0
218-5_part_15_tile_10.png,74.49275588989258,4.143572406644308,74.0
218-5_part_15_tile_11.png,72.98410892486572,4.390835925375986,73.0
218-5_part_15_tile_12.png,74.47055721282959,4.613304094232543,74.0
218-5_part_15_tile_13.png,75.12073612213135,4.508196432462072,75.0
218-5_part_15_tile_14.png,75.41995143890381,4.10420940493547,75.0
218-5_part_15_tile_15.png,74.01621532440186,4.171563102217369,74.0
218-5_part_15_tile_16.png,75.31075096130371,4.555414947706314,75.0
218-5_part_15_tile_2.png,74.29008674621582,3.732769097301825,74.0
218-5_part_15_tile_3.png,72.81724548339844,5.391922184779777,72.0
218-5_part_15_tile_4.png,74.25408363342285,6.97002241989493,74.0
218-5_part_15_tile_6.png,74.96145248413086,4.892179872978605,75.0
218-5_part_15_tile_7.png,73.20627880096436,4.450247826440021,73.0
218-5_part_15_tile_8.png,74.57041358947754,3.710855658410144,75.0
218-5_part_19_tile_1.png,72.29831218719482,3.3615199214119875,72.0
218-5_part_19_tile_10.png,73.68298053741455,4.073490208007639,74.0
218-5_part_19_tile_11.png,72.69879341125488,3.765435749971201,73.0
218-5_part_19_tile_12.png,73.78468418121338,4.094649828494771,74.0
218-5_part_19_tile_14.png,74.52626037597656,4.338667155094135,74.0
218-5_part_19_tile_15.png,73.70953369140625,4.530014915104258,73.0
218-5_part_19_tile_16.png,74.37055683135986,4.048933476171415,74.0
218-5_part_19_tile_2.png,73.34360313415527,3.6415524397370587,73.0
218-5_part_19_tile_3.png,72.92968463897705,4.947454011434131,73.0
218-5_part_19_tile_4.png,74.31962490081787,5.137126476034318,74.0
218-5_part_19_tile_5.png,73.26949310302734,3.5783957247834164,73.0
218-5_part_19_tile_6.png,74.21287250518799,4.0655563699967825,74.0
218-5_part_19_tile_8.png,74.37896347045898,4.808906355643628,74.0
218-5_part_19_tile_9.png,72.67540073394775,4.122229844884202,72.0
218-5_part_21_tile_1.png,74.89108085632324,4.289003837431718,75.0
218-5_part_21_tile_10.png,75.40591335296631,4.964116047510151,75.0
218-5_part_21_tile_11.png,74.37667274475098,4.506937355602108,74.0
218-5_part_21_tile_12.png,75.85068607330322,5.384834994002576,76.0
218-5_part_21_tile_13.png,74.59097480773926,3.952392697164465,75.0
218-5_part_21_tile_14.png,75.82712936401367,5.412858052165815,76.0
218-5_part_21_tile_15.png,74.52966403961182,5.342811484215245,74.0
218-5_part_21_tile_3.png,75.13378238677979,4.675591957945412,75.0
218-5_part_21_tile_4.png,76.4463939666748,5.410446285242635,76.0
218-5_part_21_tile_5.png,74.5208101272583,4.2415624789339335,75.0
218-5_part_21_tile_7.png,75.62674045562744,5.209707370461225,75.0
218-5_part_21_tile_8.png,76.01402187347412,4.812042297435256,76.0
218-5_part_21_tile_9.png,73.78580474853516,4.661566214493403,74.0
218-5_part_23_tile_11.png,72.07521438598633,4.870228901659916,72.0
218-5_part_23_tile_12.png,73.48100566864014,4.527615444653861,73.0
218-5_part_23_tile_13.png,72.89008712768555,4.908801958878145,73.0
218-5_part_23_tile_14.png,73.6594009399414,4.542121325534802,74.0
