image,method,intensity_bhattacharyya,intensity_wasserstein,gradient_similarity,edge_preservation,local_contrast_ratio,mask_contrast,artifact_penalty,composite_score
"Aufnahme-06_0,5Mio_nach_48h.jpg",rolling_ball,0.032369175520165966,2.51456351208617,0.9779105426539371,0.09321206515595293,1.808759578237236,,0.08037577130615806,0.6190328514842252
"Aufnahme-06_0,5Mio_nach_48h.jpg",poly2,0.44654901998504437,3.2270372154016513,0.8367721844948234,0.06962302107933176,2.187910669864523,,0.2146938991400617,0.48289958862099935
"Aufnahme-06_0,5Mio_nach_48h.jpg",poly3,0.4636911723337166,3.213730188435875,0.8233927409220612,0.07012634984479517,2.2148228498201035,,0.20989062785973087,0.47813942033883405
Aufnahme-06_2Mio_nach_48h.jpg,gaussian,0.4313855195306215,3.6763803522626404,0.9911748375300473,0.15430957036410717,1.5335884554517898,,0.28474528706780744,0.5228145440282739
Aufnahme-06_2Mio_nach_48h.jpg,opening,0.07423941047603734,2.420003441220615,0.9962796530699761,0.21001760502606234,1.3578312795614849,,0.16193547344271733,0.622977234576378
Aufnahme-06_2Mio_nach_48h.jpg,rolling_ball,0.027893471670618647,2.5316689696046524,0.9354140404187701,0.21888187493460748,1.2543402762679272,,0.10584701412723971,0.6329324179876404
Aufnahme-06_2Mio_nach_48h.jpg,poly2,0.33150807015911626,3.327263034589123,0.9715479029111842,0.18245738426541405,1.4386477912101892,,0.257864053149509,0.5443106137282336
Aufnahme-06_2Mio_nach_48h.jpg,poly3,0.33478791624375237,3.3657445196877234,0.9705465907040707,0.17720195212642342,1.4378399065180862,,0.2781879506142657,0.5413056915671128
"Aufnahme-07_0,5Mio_nach_72h.jpg",gaussian,0.43711248431530664,3.641725261841202,0.9482539470480641,0.0581512182868626,1.8056842782874845,,0.2522177210513304,0.4995231356517789
"Aufnahme-07_0,5Mio_nach_72h.jpg",opening,0.07863371595139074,2.310888756037457,0.8862942750274827,0.06707954036710939,1.6662532956957845,,0.11109187821586435,0.5813265478958752
"Aufnahme-07_0,5Mio_nach_72h.jpg",rolling_ball,0.025354174993238485,2.5457826591446064,0.8829077826484075,0.08536263271882098,1.199562113886718,,0.15410431805475655,0.597440069982192
"Aufnahme-07_0,5Mio_nach_72h.jpg",poly2,0.3322218698280514,3.3911889043520205,0.9394469043602713,0.0580169458637863,1.819028085073321,,0.2434011195550648,0.5176997454225164
"Aufnahme-07_0,5Mio_nach_72h.jpg",poly3,0.41766808242187525,3.3501567096391227,0.9280040102649577,0.058450298019611616,1.8324265988014952,,0.24481885653447766,0.49984678280711436
Aufnahme-07_2Mio_nach_72h.jpg,gaussian,0.3355706254328178,3.375183472962817,0.9110619015804192,0.056041948418630035,1.5368698586237486,,0.3397105628922426,0.5059464331154885
Aufnahme-07_2Mio_nach_72h.jpg,opening,0.029387299311520537,2.384673426859081,0.9496395112435454,0.08367805223968798,1.354959872015688,,0.20315157025271413,0.6039537019456298
Aufnahme-07_2Mio_nach_72h.jpg,rolling_ball,0.026515201823225337,2.554697930754628,0.8554063262086874,0.11021829844466668,1.1029404391899371,,0.12057850436817452,0.599183322278819
Aufnahme-07_2Mio_nach_72h.jpg,poly2,0.3479478015194657,3.63578348653391,0.9235971199133891,0.05609443631039532,1.598975807345737,,0.3257723110259624,0.5065277268893692
Aufnahme-07_2Mio_nach_72h.jpg,poly3,0.3491800468188032,3.641412884462625,0.9236474428698025,0.05564212000090328,1.5946878518846959,,0.3254714442174024,0.5062373497733788
"Aufnahme-08_0,5Mio_nach_72h.jpg",gaussian,0.4347285922774002,3.6572930264810566,0.9422518119607444,0.07587626660963025,1.8620389254628142,,0.3736049203950585,0.4949221288228039
"Aufnahme-08_0,5Mio_nach_72h.jpg",opening,0.08943521378038552,2.3849480140779633,0.8857523665915217,0.08926308165851891,1.7504389333987174,,0.24631015499449826,0.5721319356009051
"Aufnahme-08_0,5Mio_nach_72h.jpg",rolling_ball,0.024085977706582794,2.4432442113175057,0.8879693793313158,0.13294241204270962,1.212608654069454,,0.07518935576300237,0.6134346158721071
"Aufnahme-08_0,5Mio_nach_72h.jpg",poly2,0.3201389277090491,3.364403191662859,0.928498151609536,0.0741568135999564,1.8823313461321085,,0.3766268439948641,0.5132295567317714
